AwsConfigRuleName,NIST-ID,Rev
cw-loggroup-retention-period-check,AU-11|SI-12,4
ec2-instance-detailed-monitoring-enabled,CA-7(a)(b)|SI-4(2)|SI-4(a)(b)(c),4
rds-enhanced-monitoring-enabled,CA-7(a)(b),4
ec2-instance-managed-by-systems-manager,CM-2|CM-7(a)|CM-8(1)|CM-8(3)(a)|SA-3(a)|SA-10|SI-2(2)|SI-7(1),4
ec2-managedinstance-association-compliance-status-check,CM-2|CM-7(a)|CM-8(3)(a)|SI-2(2),4
ec2-stopped-instance,CM-2,4
ec2-volume-inuse-check,CM-2|SC-4,4
elb-deletion-protection-enabled,CM-2|CP-10,4
cloudtrail-security-trail-enabled,CM-2,4
ec2-managedinstance-patch-compliance-status-check,CM-8(3)(a)|SI-2(2)|SI-7(1),4
db-instance-backup-enabled,CP-9(b)|CP-10|SI-12,4
dynamodb-pitr-enabled,CP-9(b)|CP-10|SI-12,4
elasticache-redis-cluster-automatic-backup-check,CP-9(b)|CP-10|SI-12,4
dynamodb-in-backup-plan,CP-9(b)|CP-10|SI-12,4
ebs-in-backup-plan,CP-9(b)|CP-10|SI-12,4
efs-in-backup-plan,CP-9(b)|CP-10|SI-12,4
rds-in-backup-plan,CP-9(b)|CP-10|SI-12,4
dynamodb-autoscaling-enabled,CP-10|SC-5,4
rds-multi-az-support,CP-10|SC-5|SC-36,4
s3-bucket-versioning-enabled,CP-10|SI-12,4
vpc-vpn-2-tunnels-up,CP-10,4
elb-cross-zone-load-balancing-enabled,CP-10|SC-5,4
root-account-hardware-mfa-enabled,IA-2(1)(11),4
mfa-enabled-for-iam-console-access,IA-2(1)(2)(11),4
iam-user-mfa-enabled,IA-2(1)(2)(11),4
guardduty-non-archived-findings,IR-4(1)|IR-6(1)|IR-7(1)|RA-5|SA-10|SI-4(a)(b)(c),4
codebuild-project-source-repo-url-check,SA-3(a),4
autoscaling-group-elb-healthcheck-required,SC-5,4
rds-instance-deletion-protection-enabled,SC-5,4
alb-waf-enabled,SC-7|SI-4(a)(b)(c),4
elasticsearch-node-to-node-encryption-check,SC-7|SC-8|SC-8(1),4
cmk-backing-key-rotation-enabled,SC-12,4
kms-cmk-not-scheduled-for-deletion,SC-12|SC-28,4
api-gw-cache-enabled-and-encrypted,SC-13|SC-28,4
efs-encrypted-check,SC-13|SC-28,4
elasticsearch-encrypted-at-rest,SC-13|SC-28,4
encrypted-volumes,SC-13|SC-28,4
rds-storage-encrypted,SC-13|SC-28,4
s3-bucket-server-side-encryption-enabled,SC-13|SC-28,4
sagemaker-endpoint-configuration-kms-key-configured,SC-13|SC-28,4
sagemaker-notebook-instance-kms-key-configured,SC-13|SC-28,4
sns-encrypted-kms,SC-13|SC-28,4
dynamodb-table-encrypted-kms,SC-13,4
s3-bucket-default-lock-enabled,SC-28,4
ec2-ebs-encryption-by-default,SC-28,4
rds-snapshot-encrypted,SC-28,4
cloud-trail-log-file-validation-enabled,SI-7|SI-7(1),4
